,CaseNum,osmid_node,distance,street_count,highway_node,name_u,highway_u,name_v,highway_v,Mode,IncidentAddress,CrossStreets,GeocodeAddress
58,19-02809,3584498618.0,52.17836711477863,4.0,,Center Parkway,tertiary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
59,19-02809,5250327553.0,188.31580375662625,3.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
60,19-02809,5250327555.0,183.34633520171016,3.0,,Center Parkway,tertiary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
61,19-02809,5250327555.0,183.34633520171016,3.0,,,secondary_link,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
62,19-02809,9874007532.0,108.88755179663664,3.0,,Center Parkway,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
63,19-02809,9874007532.0,108.88755179663664,3.0,,,secondary_link,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
64,19-02809,9874007535.0,100.82793982130494,3.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
65,19-03267,90576208.0,43.29810440397298,4.0,,University Avenue,tertiary,University Avenue,tertiary,Passenger,"Fair Oaks Blvd. at University Ave., Sacramento, Sacramento, CA, 95825","['fair oaks boulevard', 'university avenue']","fair oaks boulevard & university avenue, Sacramento, CA 95825"
66,19-03267,90576208.0,43.29810440397298,4.0,,Fair Oaks Boulevard,primary,,,Passenger,"Fair Oaks Blvd. at University Ave., Sacramento, Sacramento, CA, 95825","['fair oaks boulevard', 'university avenue']","fair oaks boulevard & university avenue, Sacramento, CA 95825"
67,19-03267,4902808488.0,22.437905962725964,3.0,,Fair Oaks Boulevard,primary,,,Passenger,"Fair Oaks Blvd. at University Ave., Sacramento, Sacramento, CA, 95825","['fair oaks boulevard', 'university avenue']","fair oaks boulevard & university avenue, Sacramento, CA 95825"
68,19-04428,90501662.0,5.840472806255144,3.0,,Juliesse Avenue,residential,Juliesse Avenue,residential,Passenger,"Del Paso Boulevard at Intersection with Juliesse Avenue, Sacramento, Sacramento, CA, 95815","['del paso boulevard', '& juliesse avenue']","del paso boulevard & & juliesse avenue, Sacramento, CA 95815"
69,19-04428,90501662.0,5.840472806255144,3.0,,Del Paso Boulevard,secondary,Del Paso Boulevard,secondary,Passenger,"Del Paso Boulevard at Intersection with Juliesse Avenue, Sacramento, Sacramento, CA, 95815","['del paso boulevard', '& juliesse avenue']","del paso boulevard & & juliesse avenue, Sacramento, CA 95815"
70,19-04428,90501662.0,5.840472806255144,3.0,,Del Paso Boulevard,secondary,Del Paso Boulevard,secondary,Passenger,"Del Paso Boulevard at Intersection with Juliesse Avenue, Sacramento, Sacramento, CA, 95815","['del paso boulevard', '& juliesse avenue']","del paso boulevard & & juliesse avenue, Sacramento, CA 95815"
71,19-04974,90263042.0,172.2926559905729,3.0,motorway_junction,,motorway,,,Pedestrian,"X STREET AT INTERSECTION WITH 23RD STREET, Sacramento, Sacramento, CA, 95818","['x street', '& 23rd street']","x street & & 23rd street, Sacramento, CA 95818"
72,19-04974,90263042.0,172.2926559905729,3.0,motorway_junction,El Dorado Freeway,motorway,,,Pedestrian,"X STREET AT INTERSECTION WITH 23RD STREET, Sacramento, Sacramento, CA, 95818","['x street', '& 23rd street']","x street & & 23rd street, Sacramento, CA 95818"
73,19-04974,90417715.0,1.6050157296217418,4.0,,23rd Street,residential,23rd Street,residential,Pedestrian,"X STREET AT INTERSECTION WITH 23RD STREET, Sacramento, Sacramento, CA, 95818","['x street', '& 23rd street']","x street & & 23rd street, Sacramento, CA 95818"
74,19-04974,90417715.0,1.6050157296217418,4.0,,23rd Street,residential,23rd Street,residential,Pedestrian,"X STREET AT INTERSECTION WITH 23RD STREET, Sacramento, Sacramento, CA, 95818","['x street', '& 23rd street']","x street & & 23rd street, Sacramento, CA 95818"
75,19-04974,90417715.0,1.6050157296217418,4.0,,X Street,primary,,,Pedestrian,"X STREET AT INTERSECTION WITH 23RD STREET, Sacramento, Sacramento, CA, 95818","['x street', '& 23rd street']","x street & & 23rd street, Sacramento, CA 95818"
76,19-05278,90290206.0,153.74779726103512,3.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"In front of 7440 Fruitridge Road, Sacramento, Sacramento, CA, 95820",,"7440 fruitridge road, Sacramento, CA 95820"
77,19-05278,90290206.0,153.74779726103512,3.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"In front of 7440 Fruitridge Road, Sacramento, Sacramento, CA, 95820",,"7440 fruitridge road, Sacramento, CA 95820"
78,19-05278,90290206.0,153.74779726103512,3.0,,Wallace Avenue,residential,Wallace Avenue,residential,Pedestrian,"In front of 7440 Fruitridge Road, Sacramento, Sacramento, CA, 95820",,"7440 fruitridge road, Sacramento, CA 95820"
79,19-05343,9192233144.0,47.31171187387506,4.0,,,,,,Passenger,"Intersection of Watt Avenue and Folsom Boulevard, Sacramento, Sacramento, CA, 95826","['watt avenue', 'folsom boulevard']","watt avenue & folsom boulevard, Sacramento, CA 95826"
80,20-00663,90330504.0,45.0606584452552,4.0,,24th Street,tertiary,24th Street,tertiary,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
81,20-00663,90330504.0,45.0606584452552,4.0,,24th Street,tertiary,24th Street,tertiary,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
82,20-00663,90330504.0,45.0606584452552,4.0,,Florin Road,primary,,,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
83,20-00663,358579094.0,13.339525295597213,4.0,,24th Street,tertiary,24th Street,tertiary,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
84,20-00663,358579094.0,13.339525295597213,4.0,,24th Street,tertiary,24th Street,tertiary,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
85,20-00663,358579094.0,13.339525295597213,4.0,,Florin Road,primary,,,Bicyclist,"24TH ST AND FLORIN RD, Sacramento, Sacramento, CA, 95822","['24th street', 'florin road']","24th street & florin road, Sacramento, CA 95822"
86,20-00812,90634095.0,133.49228878563343,3.0,,Price Court,residential,Price Court,residential,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
87,20-00812,90634095.0,133.49228878563343,3.0,,Rio Linda Boulevard,secondary,Rio Linda Boulevard,secondary,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
88,20-00812,90634095.0,133.49228878563343,3.0,,Rio Linda Boulevard,secondary,Rio Linda Boulevard,secondary,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
