,CaseNum,osmid,distance
0,24-01461,3262602576,61.49884948482428
0,24-01461,6665383885,41.863004414461635
0,24-01461,8233346735,6.793979654637076
0,24-01717,90290127,2.7218324423465434
0,24-02703,90460292,20.784077351985548
0,24-02703,975800983,75.6524994461293
0,24-02708,90615183,160.1569439814601
0,24-02708,90615187,3.454979514813775
0,24-02864,90576208,43.29810440397298
0,24-02864,4902808488,22.437905962725964
0,24-02866,90557832,22.39271509168817
0,24-03125,4856809949,82.4651164160982
0,24-03125,5837041621,93.46117079991406
0,24-03125,12158771117,60.47167158896847
0,24-03125,12158771118,3.586450411041394
0,24-03883,2509423140,186.77869708731063
0,24-03883,2509423157,141.7079910322686
0,24-03883,2509423159,108.2933297331404
0,24-03883,2509423160,181.7263292696876
0,24-03883,2509423162,123.70174446709991
0,24-03883,2509423163,153.44104757686642
0,24-03883,3396981812,197.8644956533074
0,24-03883,3396981813,187.65802004578762
0,24-03947,90330669,7.2386891398926405
0,24-04118,90298021,49.74988391150047
0,24-04118,3448342548,7.834807283152153
0,24-04118,3448342579,174.4957235259931
0,24-04118,6917349912,67.96516240523128
0,24-04118,6917349913,46.00880075136044
