osmid,y,x,street_count,highway,ref,geometry
90532309,38.483988,-121.502223,3,,,POINT (-121.502223 38.483988)
90532332,38.482692,-121.501325,3,,,POINT (-121.501325 38.482692)
90532334,38.481315,-121.501312,4,,,POINT (-121.501312 38.481315)
90532335,38.480801,-121.501309,3,,,POINT (-121.501309 38.480801)
90532337,38.480092,-121.501303,3,,,POINT (-121.501303 38.480092)
90532339,38.478724,-121.501294,3,,,POINT (-121.501294 38.478724)
90532349,38.4772437,-121.5012333,4,,,POINT (-121.5012333 38.4772437)
90532351,38.4766446,-121.5009547,4,,,POINT (-121.5009547 38.4766446)
90532374,38.4749289,-121.5001371,3,,,POINT (-121.5001371 38.4749289)
90532393,38.4745068,-121.4980138,4,,,POINT (-121.4980138 38.4745068)
90532395,38.4745103,-121.495272,4,stop,,POINT (-121.495272 38.4745103)
90532424,38.484974,-121.503636,1,turning_circle,,POINT (-121.503636 38.484974)
90532465,38.5299766,-121.5175645,3,,,POINT (-121.5175645 38.5299766)
90532470,38.5272007,-121.470456,1,,,POINT (-121.470456 38.5272007)
90532475,38.5265509,-121.481078,3,,,POINT (-121.481078 38.5265509)
90532477,38.5265522,-121.48066,1,,,POINT (-121.48066 38.5265522)
90532494,38.5259886,-121.4522831,4,,,POINT (-121.4522831 38.5259886)
90532496,38.5259891,-121.4503505,3,,,POINT (-121.4503505 38.5259891)
90532501,38.526171,-121.432849,3,,,POINT (-121.432849 38.526171)
90532503,38.526195,-121.431178,3,,,POINT (-121.431178 38.526195)
90532508,38.526339,-121.411798,3,,,POINT (-121.411798 38.526339)
90532510,38.526336,-121.410974,3,,,POINT (-121.410974 38.526336)
90532585,38.4771717,-121.4615618,3,,,POINT (-121.4615618 38.4771717)
90532958,38.550676,-121.4946923,3,,,POINT (-121.4946923 38.550676)
90532960,38.5501908,-121.4920614,3,,,POINT (-121.4920614 38.5501908)
90532966,38.5493661,-121.488178,1,turning_circle,,POINT (-121.488178 38.5493661)
90532970,38.663416,-121.50322,3,,,POINT (-121.50322 38.663416)
90532988,38.6626064,-121.5013777,3,,,POINT (-121.5013777 38.6626064)
90533086,38.453498,-121.438402,3,,,POINT (-121.438402 38.453498)
90533101,38.453934,-121.442081,3,,,POINT (-121.442081 38.453934)
90533107,38.454426,-121.442509,3,,,POINT (-121.442509 38.454426)
90533113,38.658489,-121.451684,3,,,POINT (-121.451684 38.658489)
90533115,38.658467,-121.44937,3,,,POINT (-121.44937 38.658467)
90533121,38.6584416,-121.447745,3,,,POINT (-121.447745 38.6584416)
90533135,38.658413,-121.444933,1,,,POINT (-121.444933 38.658413)
90533139,38.658315,-121.438411,3,,,POINT (-121.438411 38.658315)
90533141,38.65828,-121.434946,3,,,POINT (-121.434946 38.65828)
90533143,38.6582215,-121.4290912,5,,,POINT (-121.4290912 38.6582215)
90533159,38.646018,-121.439991,3,,,POINT (-121.439991 38.646018)
90533161,38.646021,-121.440453,1,turning_circle,,POINT (-121.440453 38.646021)
90533189,38.5448025,-121.432946,4,,,POINT (-121.432946 38.5448025)
90533192,38.5422798,-121.432934,4,,,POINT (-121.432934 38.5422798)
90533194,38.5395552,-121.43294,4,,,POINT (-121.43294 38.5395552)
90533197,38.538719,-121.432916,3,,,POINT (-121.432916 38.538719)
90533206,38.538056,-121.432737,3,,,POINT (-121.432737 38.538056)
90533208,38.53494,-121.432748,3,,,POINT (-121.432748 38.53494)
90533228,38.522203,-121.432834,4,,,POINT (-121.432834 38.522203)
90533230,38.519577,-121.432809,3,,,POINT (-121.432809 38.519577)
